Name;URL;Region;Altitude (m);Highest Lift Altitude (m);Slope Length (km);Longest Run (km);Lift Count
AIME LA PLAGNE;https://www.igluski.com/ski-resorts/france/aime-la-plagne;FRANCE;2100;3250;225;10;139
ALPE D'HUEZ;https://www.igluski.com/ski-resorts/france/alpe-d-huez;FRANCE;1850;3300;249;16;82
ARDENT;https://www.igluski.com/ski-resorts/france/ardent;FRANCE;1200;2350;650;6;206
ARGENTIERE;https://www.igluski.com/ski-resorts/france/argentiere;FRANCE;1250;3280;762;24;10
AURIS EN OISANS;https://www.igluski.com/ski-resorts/france/auris-en-oisans;FRANCE;1600;3300;249;16;82
AVORIAZ;https://www.igluski.com/ski-resorts/france/avoriaz;FRANCE;950;2450;650;11;107
AX LES THERMES;https://www.igluski.com/ski-resorts/france/ax-les-thermes;FRANCE;1400;2400;75;-1;17
BARÈGES;https://www.igluski.com/ski-resorts/france/bareges;FRANCE;1250;2350;120;-1;47
BELLE  PLAGNE;https://www.igluski.com/ski-resorts/france/belle-plagne;FRANCE;2050;3250;425;10;139
BOURG-ST-MAURICE;https://www.igluski.com/ski-resorts/france/bourg-st-maurice;FRANCE;1600;3226;425;10;171
BRIDES LES BAINS;https://www.igluski.com/ski-resorts/france/brides-les-bains;FRANCE;600;3200;600;5;198
CAUTERETS;https://www.igluski.com/ski-resorts/france/cauterets;FRANCE;1850;2415;-1;7;15
CHAMONIX;https://www.igluski.com/ski-resorts/france/chamonix;FRANCE;1035;3777;762;24;64
CHAMPAGNY EN VANOISE;https://www.igluski.com/ski-resorts/france/champagny-en-vanoise;FRANCE;1250;3250;425;10;139
CHAMROUSSE;https://www.igluski.com/ski-resorts/france/chamrousse;FRANCE;1650;2250;90;-1;16
CHATEL;https://www.igluski.com/ski-resorts/france/chatel;FRANCE;1200;2350;650;8;206
COURCHEVEL;https://www.igluski.com/ski-resorts/france/courchevel;FRANCE;1850;2740;150;9;67
COURCHEVEL 1650;https://www.igluski.com/ski-resorts/france/courchevel-1650;FRANCE;1650;2740;150;9;67
COURCHEVEL 1850;https://www.igluski.com/ski-resorts/france/courchevel-1850;FRANCE;1850;2740;150;9;67
COURCHEVEL LE PRAZ;https://www.igluski.com/ski-resorts/france/courchevel-le-praz;FRANCE;1300;2740;150;9;67
COURCHEVEL VILLAGE;https://www.igluski.com/ski-resorts/france/courchevel-village;FRANCE;1550;2740;150;9;67
FLAINE;https://www.igluski.com/ski-resorts/france/flaine;FRANCE;1600;2500;265;14;77
FONT ROMEU;https://www.igluski.com/ski-resorts/france/font-romeu;FRANCE;1650;2213;43;-1;23
ISOLA 2000;https://www.igluski.com/ski-resorts/france/isola-2000;FRANCE;2000;2603;120;2;22
LA CLUSAZ;https://www.igluski.com/ski-resorts/france/la-clusaz;FRANCE;1100;2600;220;4;45
LA GRAVE;https://www.igluski.com/ski-resorts/france/la-grave;FRANCE;1400;3550;12;9;5
Skiing in France;https://www.igluski.com/ski-resorts/france/la-joue-du-loup;;-1;-1;-1;-1;-1
LA PLAGNE;https://www.igluski.com/ski-resorts/france/la-plagne;FRANCE;2100;3250;225;6;105
LA PLAGNE 1800;https://www.igluski.com/ski-resorts/france/la-plagne-1800;FRANCE;1800;3250;225;6;105
LA ROSIERE;https://www.igluski.com/ski-resorts/france/la-rosiere;FRANCE;1850;2800;160;13;37
LA TANIA;https://www.igluski.com/ski-resorts/france/la-tania;FRANCE;1350;3200;600;5;198
LA TOUSSUIRE;https://www.igluski.com/ski-resorts/france/la-toussuire;FRANCE;1800;2620;45;3;19
LE CORBIER;https://www.igluski.com/ski-resorts/france/le-corbier;FRANCE;1550;2620;310;-1;78
LE GRAND BORNAND;https://www.igluski.com/ski-resorts/france/le-grand-bornand;FRANCE;1000;2100;90;6;31
LES ANGLES;https://www.igluski.com/ski-resorts/france/les-angles;FRANCE;1650;2400;55;-1;22
LES ARC PEISEY VALLANDRY;https://www.igluski.com/ski-resorts/france/les-arc-peisey-vallandry;FRANCE;1600;3230;200;-1;82
LES ARCS;https://www.igluski.com/ski-resorts/france/les-arcs;FRANCE;1600;3226;200;7;55
LES ARCS 1600;https://www.igluski.com/ski-resorts/france/les-arcs-1600;FRANCE;1600;3250;200;-1;82
LES ARCS 1800;https://www.igluski.com/ski-resorts/france/les-arcs-1800;FRANCE;1800;3250;200;-1;82
LES ARCS 1950;https://www.igluski.com/ski-resorts/france/les-arcs-1950;FRANCE;1950;3250;200;-1;82
LES ARCS 2000;https://www.igluski.com/ski-resorts/france/les-arcs-2000;FRANCE;2000;3250;200;-1;82
LES CARROZ D'ARRACHES;https://www.igluski.com/ski-resorts/france/les-carroz-d-arraches;FRANCE;1140;2480;265;-1;16
LES COCHES;https://www.igluski.com/ski-resorts/france/les-coches;FRANCE;1450;2100;212;10;139
LES CONTAMINES;https://www.igluski.com/ski-resorts/france/les-contamines;FRANCE;1164;2500;120;-1;24
LES DEUX ALPES;https://www.igluski.com/ski-resorts/france/les-deux-alpes;FRANCE;1651;3600;220;16;43
LES GETS;https://www.igluski.com/ski-resorts/france/les-gets;FRANCE;950;2450;650;11;107
LES HOUCHES;https://www.igluski.com/ski-resorts/france/les-houches;FRANCE;1010;1900;55;-1;18
LES MENUIRES;https://www.igluski.com/ski-resorts/france/les-menuires;FRANCE;1815;3230;600;12;183
LES ORRES;https://www.igluski.com/ski-resorts/france/les-orres;FRANCE;1650;2720;63;6;25
LES PRAZ DE CHAMONIX;https://www.igluski.com/ski-resorts/france/les-praz-de-chamonix;FRANCE;1035;3864;762;24;50
LES PRODAINS;https://www.igluski.com/ski-resorts/france/les-prodains;FRANCE;1800;2460;-1;-1;34
LES SAISIES;https://www.igluski.com/ski-resorts/france/les-saisies;FRANCE;1650;2000;185;70;24
Skiing in France;https://www.igluski.com/ski-resorts/france/loudenvielle;;-1;-1;-1;-1;-1
LUCHON (SUPERBAGNERES);https://www.igluski.com/ski-resorts/france/luchon-superbagneres;FRANCE;630;2260;35;-1;13
MEGEVE;https://www.igluski.com/ski-resorts/france/megeve;FRANCE;1100;2350;325;3;102
MERIBEL;https://www.igluski.com/ski-resorts/france/meribel;FRANCE;1450;3230;600;12;183
MERIBEL;https://www.igluski.com/ski-resorts/france/meribel-les-allues;FRANCE;1450;3230;600;12;183
MERIBEL VILLAGE;https://www.igluski.com/ski-resorts/france/meribel-village;FRANCE;1400;2950;150;1;61
MERIBEL-MOTTARET;https://www.igluski.com/ski-resorts/france/meribel-mottaret;FRANCE;1750;3230;600;12;183
MONTCHAVIN;https://www.igluski.com/ski-resorts/france/montchavin;FRANCE;1200;3250;225;6;105
MONTGENEVRE;https://www.igluski.com/ski-resorts/france/montgenevre;FRANCE;1850;2700;400;7;70
MORILLON;https://www.igluski.com/ski-resorts/france/morillon;FRANCE;1100;2500;265;7;48
MORZINE;https://www.igluski.com/ski-resorts/france/morzine;FRANCE;1000;2350;650;6;206
NOTRE DAME;https://www.igluski.com/ski-resorts/france/notre-dame;FRANCE;1150;2070;192;-1;81
